CompanyName,TelNum,Address,Latitude,Longitude
Majlis Bandaraya Ipoh (Parlimen Gopeng),012-5169009,"Tapak Pasar Malam Rapat Setia, Jalan Teoh Kim Swee, Taman Rapat Setia Baru, 31350 Ipoh, Perak",4.5726108,101.1261787
Majlis Bandaraya Ipoh (Parlimen Ipoh Barat),012-5169009,"Kawasan Rukun Tetangga Bercham, Persiaran Bercham Selatan 10, Taman Desa Kenchana, 31400 Ipoh, Perak",4.6324675,101.1273204
Majlis Bandaraya Ipoh (Parlimen Ipoh Timur),012-5169009,"Dewan Komuniti Pasir Pinji, Jalan Sultan, Jalan Pasir Pinji, 31650 Ipoh, Perak",4.5804858,101.0849951
Majlis Bandaraya Ipoh (Parlimen Tambun),012-5169009,"Rukun Tetangga Padang Lintau, Kg. Tengku Husin, 30020 Ipoh, Perak",4.6116632,101.0628101
Majlis Daerah Beaufort,087-211550,"Peti Surat No. 181, 89808 Beaufort Sabah",5.345118,115.745112
Majlis Daerah Beluran,089-511272,"Peti Surat 20, 90107 Beluran, Sabah",5.8961356,117.5571852
Majlis Daerah Keningau,087-341180/152/188,"Peti Surat 181, 89008 Keningau, Sabah",5.3374039,116.1566801
Majlis Daerah Papar,088-911094,"Peti Surat 177, 89608 Papar, Sabah",5.734628,115.9318508
Majlis Daerah Sipitang,087-821701,"Peti Surat 28, 89857 Sipitang, Sabah",5.07919,115.550825
Majlis Perbandaran Manjung,05-6898800 / 05-6917434,"Pejabat Cawangan Zon Setiawan, Kampung Serdang, 32000 Setiawan, Perak",4.2181798,100.6984122
Maju E-waste Sdn Bhd,"03-80842555, 019-3121777","No. 79, Jalan Bandar Rawang 3, 48000 Rawang, Selangor",3.3238087,101.5789658
Maluri Recycling Centre (Tzu Chi),03-62563800,"Off Jalan Bukit Maluri, 52100 Kuala Lumpur",3.2014743,101.6281188
Mayang Jaya Recycling Centre (Tzu Chi),03-62563800,"Jalan SS26/12, Taman Mayang Jaya, 47301 Petaling Jaya, Selangor (Mayang Jaya Residents Association and Lily Apartment)",3.116369,101.6042404
MD Scrap Sdn Bhd,03-91747226,"11, Jalan 3/118C, Desa Tun Razak, 56000 Kuala Lumpur",3.079827,101.727058
MEP Enviro Technology,04-5059557/9554,"Plot 167A (Lot 20433), Jalan Perindustrian Bukit Minyak, Kawasan Perindustrian Bukit Minyak 13, 14100 S.P.T Penang.",5.2981654,100.4502319
MEP Enviro Technology Penang,04-5088557,"Plot 71 & 72, Lorong Perindustrian Bukit Minyak 14, Kawasan Perindustrian Bukit Minyak, 14100 S.P.T., Pulau Pinang",5.3036529,100.4489454
MEP Enviro Technology Sdn Bhd,012-4528977,"111, Jalan Murni 5, Taman Perindustrian Murni Senai, 81400 Senai, Johor",1.6175633,103.6698251
Meriahtek (M) Sdn Bhd,06-3365211,"No. 1, Jln TTC 30, Taman Teknologi Cheng, 75260 Melaka.",2.2654131,102.2326238
Metro Perdana Recycling Centre (Tzu Chi),03-62563800,"47-49, Jalan Metro Perdana Barat 11, Kepong, 52100 Kuala Lumpur",3.2176516,101.6393127
Miharja Recycling Centre (Tzu Chi),03-62563800,"29, Jalan Lombong, Bt 2 1/2, Jalan Cheras, 56100 Kuala Lumpur",3.0925056,101.7398849
MM Century Sdn Bhd,017-397 7597,"PMT 1132, Jalan Perindustrian Bukit Minyak 7, Taman Perindustrian Bukit Minyak, 14100 Simpang Ampat, Pulau Pinang",5.3042104,100.458386
MMP Resources Sdn Bhd,04-3999604 / 04-3984604,"2009, Jalan Perusahaan, 13600 Perai, Penang.",5.3634648,100.3998104
Paka Recycle Sdn Bhd,012-2995353,"Lot. 7, Lot No 65402, Batu 6, Jalan Bukit Kemuning, Sek 34, 40470 Shah Alam, Selangor",3.0096829,101.5111423
Pandan Indah KL Recycling Centre (Tzu Chi),06-9544375,"Jalan Pandan Indah 1/16, Pandan Indah, 55100 Kuala Lumpur",3.1303513,101.7502494
Puchong Hartamas Recycling Centre (Tzu Chi),03-62563800,"Jalan Bakawali, Taman Puchong Hartamas, 47100 Puchong, Selangor",3.0045552,101.622868
Puchong Puteri Recycling Centre (Tzu Chi),03-62563800,"Pusat Kitar Semula Zon 16 Bandar Puteri, Jalan Puteri 7/8, Bandar Puteri, 47100 Puchong, Selangor",3.0255856,101.6230277
Pulau Ketam Recycling Centre (Tzu Chi),03-3382 0066 / 0660,"467, Jalan Telikom Pulau Ketam, 42940 Pelabuhan Klang, Selangor",2.9749126,101.472702
"Pusat Kitar Semula Jalan Bonus, KL (Cawangan Alam Flora Environmental Solution)",012-2543743,"Jalan Bonus 6, KL",3.1547789,101.6973096
Pusat Kitar Semula Presint 11 (Cawangan AFES),03-88877785,Pusat Kejiranan Presint 11,2.962505,101.6660743
Pusat Kitar Semula Presint 14 (Cawangan AFES),03-88877785,Park & Ride Cyberjaya,2.9118617,101.6546082
Pusat Kitar Semula Presint 16 (Cawangan AFES),03-88877785,Pasar Awam Presint 16,2.9333611,101.7080604
Pusat Kitar Semula Presint 18 (Cawangan AFES),03-88877785,"Futsal 1 Malaysia, Presint 18",2.919605,101.6960299
Pusat Kitar Semula Presint 9 (Cawangan AFES),03-88877785,"Pusat Kitar Semula Komuniti, Jalan P9B, 62250 Wilayah Persekutuan Putrajaya",2.939708,101.6719604
Pusat Pengumpulan E-waste Kemaman,09-8597777 / 012-9217562,"Lot G-18, Binjai Souq, 24000 Kemaman, Terengganu",4.227328,103.3627089
Putra Heights Recycling Centre (Tzu Chi),06-9544375,"42 (Ground Floor) Jalan Putra Indah 9/1D, Section 9, Putra Height, 47650 Subang Jaya, Selangor",2.9963783,101.5709113
Recircle Sdn Bhd,012-6028397,"No. 560 A-1, Jalan E3/5, Taman Ehsan Kepong, 52100 Kuala Lumpur",3.2221327,101.6236119
Recovery Initiative Sustainable Eco-Facility (Cawangan AFES),03-2052 8342,"Lot 5, Jalan SBC 10, Taman Seri Batu Caves, 68100 Batu Caves, Selangor",3.230096,101.688057
Residensi Teratai Recycling Centre (Tzu Chi),03-6256 3800,"2 Jalan 6/23F, Taman Teratai Mewah, 53000 Kuala Lumpur",3.2001628,101.7106834
Rezki IT Solutions,017-3471420,"No. 21C, Jalan 5, Medan 120, Bandar Baru Salak Tinggi, 43900 Sepang, Selangor",2.8077871,101.7245492
Saujana Damansara Recycling Centre (Tzu Chi),03-62563800,"PJU 10/10B, Saujana Damansara, 47830 Petaling Jaya, Selangor",3.1982767,101.5895485
Scrap Computer Trading Sdn Bhd,03-55115522,"Lot 8, Jalan Beremban 15/12, Seksyen 15, 40200 Shah Alam Selangor",3.0612241,101.5338525
Sekinchan Recycling Centre (Tzu Chi),03-33820066 / 03-33820660,"Jalan Sekolah, Sekinchan, 45400 Sekinchan, Selangor (behind BHP Petrol Station)",3.5664919,101.0730717
Seng & Kian Enterprise Sdn Bhd,019-660 3754,"PTD 16051, Jalan Teknologi 5, Kawasan Industri Tangkak, 84900 Tangkak, Ledang, Johor,",2.2392755,102.5293335
Senheng Alor Setar,016-2991398,"2&2A, 3&3A, Pekan Simpang Kuala, Off Lebuh Raya Sultan Abdul Halim, 05400 Alor Setar, Kedah",6.0977812,100.3689349
Senheng Bakri Muar,016-2991398,"No. 82-46-No. 82-49 Jalan Bakri 2 , Taman Kampung Kenanga Tun Dr. Ismail, 84000 Muar, Johor",2.0473299,102.6023376
